Asset,Strategy_Return_Pct,BuyHold_Return_Pct,Alpha_Pct,Total_Trades,Long_Trades,Short_Trades,Win_Rate_Pct,Max_Drawdown_Pct,Final_Value
FARTCOIN,59.93,-37.22,97.15,6,6,0,50.0,-17.42,15993.1
TRUMP,-1.7,-69.44,67.73,1,1,0,0.0,-15.55,9829.65
SOL,11.2,-36.97,48.17,3,3,0,66.7,-5.11,11119.8
OP,-14.55,-62.24,47.69,4,0,4,75.0,-25.54,8545.03
PEPE,0.36,-37.01,37.37,1,0,1,100.0,-10.17,10036.32
PUMP,0.0,-31.64,31.64,0,0,0,0.0,0.0,10000.0
XRP,-1.17,-25.18,24.01,4,4,0,75.0,-20.54,9882.75
VIRTUAL,-3.47,-27.04,23.57,2,2,0,0.0,-15.2,9652.91
BTC,-11.41,-19.65,8.24,21,12,9,38.1,-28.99,8858.96
HYPE,0.0,-6.09,6.09,0,0,0,0.0,0.0,10000.0
ETH,-7.89,3.95,-11.83,9,5,4,44.4,-14.6,9211.36
