caller_normalized,calls,avg_max,median_max,best,best_token,cnt_100x,cnt_50x,cnt_20x,cnt_10x,cnt_5x,cnt_3x,pct_10x,pct_5x,pct_3x
Cooker,370,4.933350133568689,1.8693479594032212,268.2926829268293,ALTAR,2,3,10,29,72,106,7.837837837837839,19.45945945945946,28.64864864864865
melon,44,12.946269327546776,5.0,275.86206896551727,ae,1,1,1,13,23,30,29.545454545454547,52.27272727272727,68.18181818181817
ton the neko,30,3.566957720188668,2.0,19.023255813953487,PASTERNAK,0,0,0,2,7,11,6.666666666666667,23.333333333333332,36.666666666666664
beep,19,3.789473684210526,3.0,5.0,PKMNSTRAT,0,0,0,0,9,16,0.0,47.368421052631575,84.21052631578947
shawns,17,1.9705785667449267,2.0,5.0,UNK,0,0,0,0,1,2,0.0,5.88235294117647,11.76470588235294
Chary1,16,2.4650378891477365,1.40318670985268,8.0,aly,0,0,0,0,3,5,0.0,18.75,31.25
atomic,15,1.6705514487857906,1.503030303030303,3.0,HarryBōlz,0,0,0,0,0,1,0.0,0.0,6.666666666666667
wheat,12,2.0800470287184853,2.0,5.0,SIMMI,0,0,0,0,1,2,0.0,8.333333333333332,16.666666666666664
Altersaber,10,1.7105008861425834,1.5710417427284897,3.0,MINMIN,0,0,0,0,0,1,0.0,0.0,10.0
Furkantekno,8,1.9907014748483411,1.6375776397515527,4.0,plankton,0,0,0,0,0,2,0.0,0.0,25.0
Pharoh,6,17.80582772066224,1.2761094744844628,100.14947683109118,RDMP,1,1,1,1,1,1,16.666666666666664,16.666666666666664,16.666666666666664
WolfsRain,5,1.7291161310223662,1.368421052631579,3.0,UNK,0,0,0,0,0,1,0.0,0.0,20.0
queady,4,1.2317396714643656,1.1582111436950147,1.5277777777777777,daige,0,0,0,0,0,0,0.0,0.0,0.0
Grimm,3,1.7155740817453742,1.15625,2.9411764705882355,UNK,0,0,0,0,0,0,0.0,0.0,0.0
ven,2,2.0,2.0,2.0,UNK,0,0,0,0,0,0,0.0,0.0,0.0
chefboyardli (mossad arc),2,7.352941176470588,7.352941176470588,9.705882352941176,UNK,0,0,0,0,2,2,0.0,100.0,100.0
Potter,1,1.4666666666666666,1.4666666666666666,1.4666666666666666,ANGEL,0,0,0,0,0,0,0.0,0.0,0.0
chefboyardli (mossad arc) PSTL Bounty,1,2.657142857142857,2.657142857142857,2.657142857142857,UNK,0,0,0,0,0,0,0.0,0.0,0.0
tensai kurooso,1,1.2278389601011013,1.2278389601011013,1.2278389601011013,BBC,0,0,0,0,0,0,0.0,0.0,0.0
tensai kurooso PSTL Admin,1,1.2385179069047374,1.2385179069047374,1.2385179069047374,BBC,0,0,0,0,0,0,0.0,0.0,0.0
