caller_normalized,calls,wins,win_rate,avg_max,best,best_token,cnt_100x,cnt_10x,cnt_5x,cnt_3x,pct_10x,pct_5x,pct_3x
Cooker,370,3,0.8108108108108109,3.705376218021925,268.2926829268293,ALTAR,2,16,28,35,4.324324324324325,7.567567567567568,9.45945945945946
melon,44,0,0.0,7.514451145728595,275.86206896551727,haemanthus,1,1,2,3,2.272727272727273,4.545454545454546,6.8181818181818175
ton the neko,30,0,0.0,1.7336243868553352,19.023255813953487,Ben Pasternak (clout.me),0,1,1,1,3.3333333333333335,3.3333333333333335,3.3333333333333335
beep,19,0,0.0,1.0,1.0,Collector Crypt,0,0,0,0,0.0,0.0,0.0
shawns,17,0,0.0,1.441166802039044,3.4521739130434783,Catverse,0,0,0,1,0.0,0.0,5.88235294117647
Chary1,16,0,0.0,1.2775378891477365,3.6429872495446265,kapi plara,0,0,0,1,0.0,0.0,6.25
atomic,15,1,6.666666666666667,5.2055514487857915,61.19166666666667,OFFICIAL TRUMP,0,1,1,1,6.666666666666667,6.666666666666667,6.666666666666667
wheat,12,1,8.333333333333332,1.802269250940708,6.666666666666667,Melania Meme,0,0,1,2,0.0,8.333333333333332,16.666666666666664
Altersaber,10,0,0.0,1.4105008861425834,2.418918918918919,Kyna,0,0,0,0,0.0,0.0,0.0
Furkantekno,8,2,25.0,2.0212920998483415,4.044725,Just a chill guy,0,0,0,2,0.0,0.0,25.0
Pharoh,6,0,0.0,17.639161053995576,100.14947683109118,Roadmap Coin,1,1,1,1,16.666666666666664,16.666666666666664,16.666666666666664
WolfsRain,5,0,0.0,1.129116131022366,1.368421052631579,TruthFi,0,0,0,0,0.0,0.0,0.0
queady,4,0,0.0,1.2317396714643656,1.5277777777777777,Daige,0,0,0,0,0.0,0.0,0.0
Grimm,3,0,0.0,1.7155740817453742,2.9411764705882355,Satfi,0,0,0,0,0.0,0.0,0.0
ven,2,0,0.0,1.0,1.0,LAB,0,0,0,0,0.0,0.0,0.0
chefboyardli (mossad arc),2,0,0.0,5.352941176470588,9.705882352941176,Unknown,0,0,1,1,0.0,50.0,50.0
Potter,1,0,0.0,1.4666666666666666,1.4666666666666666,Angel,0,0,0,0,0.0,0.0,0.0
chefboyardli (mossad arc) PSTL Bounty,1,0,0.0,2.657142857142857,2.657142857142857,VIBE CAT,0,0,0,0,0.0,0.0,0.0
tensai kurooso,1,0,0.0,1.2278389601011013,1.2278389601011013,BBC AI,0,0,0,0,0.0,0.0,0.0
tensai kurooso PSTL Admin,1,0,0.0,1.2385179069047374,1.2385179069047374,BBC AI,0,0,0,0,0.0,0.0,0.0
