caller_normalized,calls,wins,win_rate,avg_max,best,best_token,cnt_100x,cnt_10x,cnt_3x
Cooker,331,65,19.637462235649547,11.144686838615735,621.3733075435204,Official Mascot of the Ho..,10,39,65
melon,43,28,65.11627906976744,50.82562481527871,323.7822349570201,YZY,6,21,28
ton,29,5,17.24137931034483,29.164820553659705,567.7966101694915,G*BOY,2,4,5
Chary1,16,1,6.25,1.2775378891477365,3.6429872495446265,kapi plara,0,0,1
beep,15,3,20.0,2.1313556958005604,5.6,:pill:Click to learn more Never Give Up,0,0,3
atomic,14,1,7.142857142857142,1.5869101434645323,6.183574879227053,jelly-my-jelly,0,0,1
shawns,14,3,21.428571428571427,5.330554581366464,32.15384615384615,Deep Worm,0,2,3
!,12,3,25.0,13.929561336420981,120.69767441860465,Ping,1,2,3
Unknown,11,0,0.0,1.3834137094723207,2.3877252800779347,Applied Memetics,0,0,0
Altersaber,10,0,0.0,1.4105008861425834,2.418918918918919,Kyna,0,0,0
Furkantekno,8,2,25.0,21.79461421723061,162.0,Just a chill guy,1,1,2
Pharoh,5,1,20.0,20.966993264794688,100.14947683109118,Roadmap Coin,1,1,1
WolfsRain,5,0,0.0,1.129116131022366,1.368421052631579,TruthFi,0,0,0
queady,4,0,0.0,1.2317396714643656,1.5277777777777777,Daige,0,0,0
chefboyardli,3,1,33.33333333333333,4.454341736694677,9.705882352941176,Unknown,0,0,1
Grimm,3,0,0.0,1.7155740817453742,2.9411764705882355,Satfi,0,0,0
Potter,1,0,0.0,1.4666666666666666,1.4666666666666666,Angel,0,0,0
tensai,1,0,0.0,2.1664560389962086,2.1664560389962086,BBC AI,0,0,0
