Strategy,Return %,vs B&H,Trades,Win %,Max DD %
Dump -2.5% @ 10AM → 1.5% trail,11.509540513348602,13.687221532024303,2,100.0,-3.6705673989988328
Dump -1.5% @ 10AM → 1.5% trail,11.060136612588432,13.237817631264132,2,100.0,-8.404676493799021
Dump -1.5% @ 10AM → 1.5% trail,11.060136612588432,13.237817631264132,2,100.0,-8.404676493799021
Dump -1.5% @ 9:30-10:30 AM → 1.5% trail,11.060136612588432,13.237817631264132,2,100.0,-8.404676493799021
Dump -1.5% @ 10AM → 2.0% trail,10.402377659882896,12.580058678558597,2,100.0,-8.947154163102857
Dump -1.5% @ 10AM → 2.5% trail,9.157076079947474,11.334757098623175,2,100.0,-9.243219084570056
Dump -1.0% @ 10AM → 1.5% trail,9.051693682984787,11.229374701660488,2,100.0,-8.71143709452451
Dump -2.0% @ 10AM → 1.5% trail,8.767051049980218,10.944732068655918,1,100.0,-8.150612179216985
Dump -1.5% @ 10AM → 1.0% trail,7.081664360479172,9.259345379154873,2,100.0,-7.811342707527021
Dump -2.0% @ 10AM → EOD exit,0.48927425285826764,2.666955271533968,4,75.0,-2.690509348540086
Dump -1.5% @ 10AM → EOD exit,0.48826725664206605,2.665948275317766,5,60.0,-2.91947394539944
Dump -1.5% @ 10-11 AM → 1.5% trail,-0.3410680926838358,1.8366129259918644,3,100.0,-9.059119010804318
